source,total,growth,percentage,growth_DK,percentage_DK
C-Source,190,92,0.4842105263157895,87,0.45789473684210524
N-Source,95,45,0.47368421052631576,57,0.6
S-Source,35,26,0.7428571428571429,35,1.0
P-Source,59,51,0.864406779661017,50,0.847457627118644
"C-Source, alcohol",6,1,0.16666666666666666,1,0.16666666666666666
"C-Source, amide",3,0,0.0,0,0.0
"C-Source, amine",5,0,0.0,0,0.0
"C-Source, amino acid",30,14,0.4666666666666667,14,0.4666666666666667
"C-Source, carbohydrate",71,47,0.6619718309859155,45,0.6338028169014085
"C-Source, carboxylic acid",59,24,0.4067796610169492,24,0.4067796610169492
"C-Source, ester",2,2,1.0,2,1.0
"C-Source, fatty acid",3,2,0.6666666666666666,0,0.0
"C-Source, polymer",11,2,0.18181818181818182,1,0.09090909090909091
"N-Source, amino acid",33,19,0.5757575757575758,24,0.7272727272727273
"N-Source, inorganic",3,1,0.3333333333333333,1,0.3333333333333333
"N-Source, other",47,13,0.2765957446808511,20,0.425531914893617
"N-Source, peptide",12,12,1.0,12,1.0
Negative control,6,0,0.0,2,0.3333333333333333
Nutritional supplement,94,0,0.0,57,0.6063829787234043
"Nutritional supplement, Positive control",1,0,0.0,1,1.0
"P-Source, inorganic",7,7,1.0,6,0.8571428571428571
"P-Source, organic",52,44,0.8461538461538461,44,0.8461538461538461
"S-Source, inorganic",5,5,1.0,5,1.0
"S-Source, organic",30,21,0.7,30,1.0
