,Subsystem
Cofactor and Prosthetic Group Biosynthesis,53
Purine and Pyrimidine Biosynthesis,17
Cell Envelope Biosynthesis,17
"Tyrosine, Tryptophan, and Phenylalanine Metabolism",16
Glycerophospholipid Metabolism,15
"Valine, Leucine, and Isoleucine Metabolism",14
Extracellular exchange,14
Lipopolysaccharide Biosynthesis / Recycling,12
Threonine and Lysine Metabolism,12
Arginine and Proline Metabolism,12
Methionine Metabolism,9
"Transport, Outer Membrane",9
Nucleotide Salvage Pathway,5
"Transport, Inner Membrane",4
Citric Acid Cycle,4
Inorganic Ion Transport and Metabolism,3
Membrane Lipid Metabolism,2
Alanine and Aspartate Metabolism,2
Murein Biosynthesis,2
Anaplerotic Reactions,1
Glutamate Metabolism,1
Intracellular demand,1
Unassigned,1
Folate Metabolism,1
Alternate Carbon Metabolism,1
Biomass and maintenance functions,1
tRNA Charging,1
