Unnamed: 0,ids,growth,status,binary,EcN
3588,"{'b1106', 'b3993'}",0.0,optimal,0,"['CIW80_24140', 'CIW80_15030']"
7079,"{'b0068', 'b4407'}",0.0,optimal,0,"['CIW80_18045', 'CIW80_15020']"
7433,"{'b3197', 'b2708'}",0.0,optimal,0,"['CIW80_10455', 'CIW80_07210']"
15436,"{'b0068', 'b3994'}",0.0,optimal,0,"['CIW80_18045', 'CIW80_15035']"
16660,"{'b0002', 'b3940'}",-0.0,optimal,0,"['CIW80_17685', 'CIW80_14710']"
23285,"{'b2029', 'b3386'}",0.0,optimal,0,"['CIW80_03945', 'CIW80_11440']"
31207,"{'b2836', 'b0954'}",0.0,optimal,0,"['CIW80_07985', 'CIW80_22755']"
38757,"{'b2424', 'b0763'}",0.0,optimal,0,"['CIW80_06000', 'CIW80_21805']"
40028,"{'b2764', 'b1920'}",-0.0,optimal,0,"['CIW80_07490', 'CIW80_02815']"
42780,"{'b2867', 'b2508'}",0.0,optimal,0,"['CIW80_08055', 'CIW80_06355']"
50173,"{'b4407', 'b1106'}",-0.0,optimal,0,"['CIW80_15020', 'CIW80_24140']"
51505,"{'b0674', 'b3744'}",0.0,optimal,0,"['CIW80_21345', 'CIW80_13585']"
53598,"{'b2103', 'b0067'}",-0.0,optimal,0,"['CIW80_04300', 'CIW80_18040']"
55027,"{'b3607', 'b1920'}",0.0,optimal,0,"['CIW80_12745', 'CIW80_02815']"
58340,"{'b2424', 'b0764'}",0.0,optimal,0,"['CIW80_06000', 'CIW80_21810']"
73222,"{'b2895', 'b0684'}",0.0,optimal,0,"['CIW80_08200', 'CIW80_21445']"
78131,"{'b2529', 'b1681'}",-0.0,optimal,0,"['CIW80_06480', 'CIW80_01270']"
84459,"{'b0067', 'b3992'}",0.0,optimal,0,"['CIW80_18040', 'CIW80_15025']"
90245,"{'b4388', 'b2551'}",-0.0,optimal,0,"['CIW80_17595', 'CIW80_06560']"
91555,"{'b0339', 'b0126'}",0.0,optimal,0,"['Missing', 'CIW80_18385']"
92482,"{'b1849', 'b2500'}",-0.0,optimal,0,"['CIW80_02165', 'CIW80_06300']"
93956,"{'b3846', 'b0954'}",0.0,optimal,0,"['CIW80_14210', 'CIW80_22755']"
98134,"{'b2508', 'b0238'}",0.0,optimal,0,"['CIW80_06355', 'CIW80_19465']"
103445,"{'b1288', 'b0452'}",-0.0,optimal,0,"['CIW80_25415', 'CIW80_20385']"
121683,"{'b0764', 'b2422'}",-0.0,optimal,0,"['CIW80_21810', 'CIW80_05990']"
130533,"{'b4053', 'b1190'}",-0.0,optimal,0,"['CIW80_15425', 'CIW80_24810']"
133839,"{'b3281', 'b1692'}",-0.0,optimal,0,"['CIW80_10920', 'CIW80_01330']"
151210,"{'b3991', 'b0066'}",0.0,optimal,0,"['CIW80_15015', 'CIW80_18035']"
158132,"{'b1106', 'b3991'}",-0.0,optimal,0,"['CIW80_24140', 'CIW80_15015']"
158780,"{'b2422', 'b0763'}",-0.0,optimal,0,"['CIW80_05990', 'CIW80_21805']"
160082,"{'b0067', 'b2530'}",0.0,optimal,0,"['CIW80_18040', 'CIW80_06485']"
168713,"{'b0149', 'b3396'}",-0.0,optimal,0,"['CIW80_18510', 'CIW80_11490']"
169145,"{'b2750', 'b1917'}",-0.0,optimal,0,"['CIW80_07450', 'CIW80_02800']"
169205,"{'b3829', 'b4019'}",-0.0,optimal,0,"['CIW80_14025', 'CIW80_15170']"
170199,"{'b1918', 'b2763'}",0.0,optimal,0,"['CIW80_02805', 'CIW80_07485']"
170280,"{'b2752', 'b1920'}",0.0,optimal,0,"['CIW80_07460', 'CIW80_02815']"
174862,"{'b1106', 'b3992'}",0.0,optimal,0,"['CIW80_24140', 'CIW80_15025']"
179376,"{'b1918', 'b3607'}",-0.0,optimal,0,"['CIW80_02805', 'CIW80_12745']"
183891,"{'b0068', 'b0423'}",-0.0,optimal,0,"['CIW80_18045', 'CIW80_20230']"
189785,"{'b1592', 'b0155'}",0.0,optimal,0,"['CIW80_00775', 'CIW80_18540']"
194425,"{'b1681', 'b2530'}",0.0,optimal,0,"['CIW80_01270', 'CIW80_06485']"
197065,"{'b1106', 'b3994'}",0.0,optimal,0,"['CIW80_24140', 'CIW80_15035']"
203881,"{'b3992', 'b0066'}",0.0,optimal,0,"['CIW80_15025', 'CIW80_18035']"
215396,"{'b0423', 'b0066'}",0.0,optimal,0,"['CIW80_20230', 'CIW80_18035']"
220921,"{'b0067', 'b3991'}",0.0,optimal,0,"['CIW80_18040', 'CIW80_15015']"
228774,"{'b2103', 'b1106'}",0.0,optimal,0,"['CIW80_04300', 'CIW80_24140']"
236630,"{'b0068', 'b2530'}",0.0,optimal,0,"['CIW80_18045', 'CIW80_06485']"
241018,"{'b0474', 'b4094'}",-0.0,optimal,0,"['CIW80_20510', 'CIW80_15765']"
245889,"{'b1682', 'b2530'}",-0.0,optimal,0,"['CIW80_01275', 'CIW80_06485']"
247870,"{'b4041', 'b1090'}",0.0,optimal,0,"['CIW80_15345', 'CIW80_24060']"
249171,"{'b2763', 'b1920'}",-0.0,optimal,0,"['CIW80_07485', 'CIW80_02815']"
250946,"{'b4407', 'b0066'}",0.0,optimal,0,"['CIW80_15020', 'CIW80_18035']"
258422,"{'b1761', 'b3212'}",0.0,optimal,0,"['CIW80_01690', 'CIW80_10540']"
259338,"{'b0067', 'b3994'}",0.0,optimal,0,"['CIW80_18040', 'CIW80_15035']"
264865,"{'b1606', 'b0048'}",0.0,optimal,0,"['CIW80_00865', 'CIW80_17925']"
269607,"{'b3772', 'b3117'}",-0.0,optimal,0,"['CIW80_13725', 'CIW80_10075']"
274725,"{'b0066', 'b3993'}",-0.0,optimal,0,"['CIW80_18035', 'CIW80_15030']"
288591,"{'b3994', 'b0066'}",0.0,optimal,0,"['CIW80_15035', 'CIW80_18035']"
298458,"{'b1106', 'b2530'}",0.0,optimal,0,"['CIW80_24140', 'CIW80_06485']"
306657,"{'b0033', 'b0521'}",-0.0,optimal,0,"['CIW80_17845', 'CIW80_20730']"
308766,"{'b0907', 'b2551'}",-0.0,optimal,0,"['CIW80_22550', 'CIW80_06560']"
311539,"{'b3990', 'b0066'}",0.0,optimal,0,"['CIW80_15010', 'CIW80_18035']"
322759,"{'b2529', 'b1680'}",0.0,optimal,0,"['CIW80_06480', 'CIW80_01265']"
330066,"{'b2418', 'b2564'}",-0.0,optimal,0,"['CIW80_05975', 'CIW80_06640']"
342048,"{'b0931', 'b0750'}",0.0,optimal,0,"['CIW80_22670', 'CIW80_21725']"
347404,"{'b1800', 'b0073'}",-0.0,optimal,0,"['Missing', 'CIW80_18070']"
352349,"{'b1622', 'b3008'}",0.0,optimal,0,"['CIW80_00945', 'CIW80_09435']"
352491,"{'b1761', 'b3213'}",0.0,optimal,0,"['CIW80_01690', 'CIW80_10545']"
352660,"{'b0452', 'b0954'}",0.0,optimal,0,"['CIW80_20385', 'CIW80_22755']"
363595,"{'b2103', 'b0068'}",-0.0,optimal,0,"['CIW80_04300', 'CIW80_18045']"
368114,"{'b0221', 'b1288'}",0.0,optimal,0,"['CIW80_19405', 'CIW80_25415']"
371347,"{'b2508', 'b2866'}",0.0,optimal,0,"['CIW80_06355', 'CIW80_08050']"
373889,"{'b0765', 'b2422'}",0.0,optimal,0,"['CIW80_21815', 'CIW80_05990']"
393093,"{'b1918', 'b4214'}",-0.0,optimal,0,"['CIW80_02805', 'CIW80_16445']"
405576,"{'b0068', 'b3992'}",0.0,optimal,0,"['CIW80_18045', 'CIW80_15025']"
407434,"{'b0078', 'b3670'}",0.0,optimal,0,"['CIW80_18095', 'CIW80_13230']"
422217,"{'b1276', 'b0118'}",0.0,optimal,0,"['CIW80_25345', 'CIW80_18345']"
423699,"{'b1207', 'b4094'}",0.0,optimal,0,"['CIW80_24930', 'CIW80_15765']"
433985,"{'b0474', 'b1207'}",0.0,optimal,0,"['CIW80_20510', 'CIW80_24930']"
438636,"{'b1680', 'b2530'}",-0.0,optimal,0,"['CIW80_01265', 'CIW80_06485']"
449050,"{'b2528', 'b1684'}",-0.0,optimal,0,"['CIW80_06475', 'CIW80_01285']"
451253,"{'b3059', 'b4041'}",0.0,optimal,0,"['CIW80_09770', 'CIW80_15345']"
455167,"{'b4383', 'b0474'}",0.0,optimal,0,"['CIW80_17570', 'CIW80_20510']"
459612,"{'b3607', 'b1917'}",-0.0,optimal,0,"['CIW80_12745', 'CIW80_02800']"
461019,"{'b2752', 'b1917'}",0.0,optimal,0,"['CIW80_07460', 'CIW80_02800']"
469546,"{'b4214', 'b1920'}",-0.0,optimal,0,"['CIW80_16445', 'CIW80_02815']"
473248,"{'b4254', 'b0273'}",0.0,optimal,0,"['CIW80_16625', 'Missing']"
473500,"{'b2750', 'b1920'}",-0.0,optimal,0,"['CIW80_07450', 'CIW80_02815']"
477322,"{'b2764', 'b1917'}",-0.0,optimal,0,"['CIW80_07490', 'CIW80_02800']"
479576,"{'b2103', 'b0066'}",0.0,optimal,0,"['CIW80_04300', 'CIW80_18035']"
483361,"{'b1095', 'b2323'}",0.0,optimal,0,"['CIW80_24085', 'CIW80_05545']"
488796,"{'b1680', 'b2528'}",-0.0,optimal,0,"['CIW80_01265', 'CIW80_06475']"
488925,"{'b1918', 'b2750'}",0.0,optimal,0,"['CIW80_02805', 'CIW80_07450']"
492195,"{'b2423', 'b0764'}",-0.0,optimal,0,"['CIW80_05995', 'CIW80_21810']"
503531,"{'b3258', 'b0134'}",-0.0,optimal,0,"['CIW80_10790', 'CIW80_18435']"
518809,"{'b0077', 'b3670'}",-0.0,optimal,0,"['CIW80_18090', 'CIW80_13230']"
521702,"{'b1682', 'b2528'}",0.0,optimal,0,"['CIW80_01275', 'CIW80_06475']"
523749,"{'b4214', 'b1917'}",0.0,optimal,0,"['CIW80_16445', 'CIW80_02800']"
547982,"{'b1865', 'b0099'}",0.0,optimal,0,"['CIW80_02250', 'CIW80_18205']"
561576,"{'b3926', 'b3608'}",0.0,optimal,0,"['CIW80_14640', 'CIW80_12750']"
562220,"{'b3990', 'b0068'}",-0.0,optimal,0,"['CIW80_15010', 'CIW80_18045']"
564545,"{'b0844', 'b3812'}",-0.0,optimal,0,"['CIW80_22225', 'CIW80_13940']"
567040,"{'b0067', 'b0423'}",0.0,optimal,0,"['CIW80_18040', 'CIW80_20230']"
584597,"{'b0910', 'b0171'}",0.0,optimal,0,"['CIW80_22565', 'CIW80_18620']"
585151,"{'b0068', 'b3993'}",0.0,optimal,0,"['CIW80_18045', 'CIW80_15030']"
593890,"{'b0381', 'b0092'}",0.0,optimal,0,"['CIW80_20015', 'CIW80_18170']"
596411,"{'b2530', 'b1684'}",0.0,optimal,0,"['CIW80_06485', 'CIW80_01285']"
607064,"{'b2836', 'b2323'}",0.0,optimal,0,"['CIW80_07985', 'CIW80_05545']"
609368,"{'b2530', 'b1679'}",-0.0,optimal,0,"['CIW80_06485', 'CIW80_01260']"
621364,"{'b3608', 'b1727'}",0.0,optimal,0,"['CIW80_12750', 'CIW80_01515']"
624454,"{'b1106', 'b0423'}",0.0,optimal,0,"['CIW80_24140', 'CIW80_20230']"
639485,"{'b2530', 'b0066'}",0.0,optimal,0,"['CIW80_06485', 'CIW80_18035']"
644628,"{'b0067', 'b3993'}",0.0,optimal,0,"['CIW80_18040', 'CIW80_15030']"
646364,"{'b1288', 'b2836'}",0.0,optimal,0,"['CIW80_25415', 'CIW80_07985']"
658330,"{'b2529', 'b1684'}",0.0,optimal,0,"['CIW80_06480', 'CIW80_01285']"
665338,"{'b2762', 'b1920'}",0.0,optimal,0,"['CIW80_07480', 'CIW80_02815']"
677893,"{'b0388', 'b3390'}",-0.0,optimal,0,"['CIW80_20050', 'CIW80_11460']"
687274,"{'b1288', 'b3846'}",0.0,optimal,0,"['CIW80_25415', 'CIW80_14210']"
694806,"{'b0052', 'b2418'}",0.0,optimal,0,"['CIW80_17955', 'CIW80_05975']"
701619,"{'b2465', 'b2935'}",0.0,optimal,0,"['CIW80_06165', 'CIW80_08430']"
713157,"{'b0077', 'b3671'}",-0.0,optimal,0,"['CIW80_18090', 'CIW80_13235']"
719926,"{'b4039', 'b1096'}",0.0,optimal,0,"['CIW80_15335', 'CIW80_24090']"
723434,"{'b2423', 'b0763'}",0.0,optimal,0,"['CIW80_05995', 'CIW80_21805']"
729026,"{'b2751', 'b1917'}",0.0,optimal,0,"['CIW80_07455', 'CIW80_02800']"
729601,"{'b2528', 'b1679'}",0.0,optimal,0,"['CIW80_06475', 'CIW80_01260']"
735487,"{'b1918', 'b2751'}",0.0,optimal,0,"['CIW80_02805', 'CIW80_07455']"
754558,"{'b2751', 'b1920'}",0.0,optimal,0,"['CIW80_07455', 'CIW80_02815']"
755643,"{'b1918', 'b2764'}",-0.0,optimal,0,"['CIW80_02805', 'CIW80_07490']"
769476,"{'b0133', 'b3258'}",0.0,optimal,0,"['CIW80_18430', 'CIW80_10790']"
769853,"{'b2752', 'b1918'}",0.0,optimal,0,"['CIW80_07460', 'CIW80_02805']"
776941,"{'b0032', 'b0521'}",-0.0,optimal,0,"['CIW80_17840', 'CIW80_20730']"
777429,"{'b2424', 'b0765'}",0.0,optimal,0,"['CIW80_06000', 'CIW80_21815']"
779115,"{'b3990', 'b0067'}",0.0,optimal,0,"['CIW80_15010', 'CIW80_18040']"
785242,"{'b3924', 'b1378'}",-0.0,optimal,0,"['CIW80_14630', 'CIW80_25730']"
785507,"{'b2763', 'b1917'}",-0.0,optimal,0,"['CIW80_07485', 'CIW80_02800']"
795191,"{'b0931', 'b2574'}",0.0,optimal,0,"['CIW80_22670', 'CIW80_06695']"
815619,"{'b2551', 'b2913'}",0.0,optimal,0,"['CIW80_06560', 'CIW80_08300']"
819924,"{'b0928', 'b4054'}",0.0,optimal,0,"['CIW80_22655', 'CIW80_15440']"
835985,"{'b0131', 'b3258'}",0.0,optimal,0,"['CIW80_18410', 'CIW80_10790']"
837276,"{'b1683', 'b2528'}",0.0,optimal,0,"['CIW80_01280', 'CIW80_06475']"
844807,"{'b0931', 'b0109'}",0.0,optimal,0,"['CIW80_22670', 'CIW80_18260']"
849850,"{'b0452', 'b2323'}",0.0,optimal,0,"['CIW80_20385', 'CIW80_05545']"
852261,"{'b0765', 'b2423'}",0.0,optimal,0,"['CIW80_21815', 'CIW80_05995']"
854621,"{'b2529', 'b1682'}",0.0,optimal,0,"['CIW80_06480', 'CIW80_01275']"
859921,"{'b3846', 'b2323'}",0.0,optimal,0,"['CIW80_14210', 'CIW80_05545']"
863697,"{'b1918', 'b2762'}",-0.0,optimal,0,"['CIW80_02805', 'CIW80_07480']"
865358,"{'b2529', 'b1679'}",-0.0,optimal,0,"['CIW80_06480', 'CIW80_01260']"
865405,"{'b3671', 'b0078'}",-0.0,optimal,0,"['CIW80_13235', 'CIW80_18095']"
866728,"{'b3990', 'b1106'}",0.0,optimal,0,"['CIW80_15010', 'CIW80_24140']"
875626,"{'b2508', 'b2868'}",0.0,optimal,0,"['CIW80_06355', 'CIW80_08060']"
876084,"{'b4383', 'b1207'}",0.0,optimal,0,"['CIW80_17570', 'CIW80_24930']"
878172,"{'b0068', 'b3991'}",0.0,optimal,0,"['CIW80_18045', 'CIW80_15015']"
893211,"{'b1683', 'b2530'}",0.0,optimal,0,"['CIW80_01280', 'CIW80_06485']"
906185,"{'b1681', 'b2528'}",0.0,optimal,0,"['CIW80_01270', 'CIW80_06475']"
910102,"{'b2762', 'b1917'}",0.0,optimal,0,"['CIW80_07480', 'CIW80_02800']"
921778,"{'b2529', 'b1683'}",0.0,optimal,0,"['CIW80_06480', 'CIW80_01280']"
924884,"{'b4407', 'b0067'}",0.0,optimal,0,"['CIW80_15020', 'CIW80_18040']"
