,Reaction,glcn_flux_mean,glcn_flux_sd,fluxes_corrected,Subsystem,fluxes_ED_corrected
AKGDH,AKG → Suc + CO2,0.6714173770270696,0.00685102439403378,0.0,Citric Acid Cycle,0.22905702253839877
FBA,FBP ↔ GAP + GAP,0.08832072062559354,0.00647991555814668,0.0,Glycolysis/Gluconeogenesis,0.0
CS,OAA + AcCoA → Cit,0.7113395992492704,0.006851024394033548,0.068035721514975,Citric Acid Cycle,0.291886375184964
EDA,6PG → GAP + Pyr,0.8082791062242366,0.011768750792201977,0.008168832329439723,Pentose Phosphate Pathway,0.8
ENO,PGA ↔ PEP,0.971384794699644,0.006479915558146752,1.4038279550398935,Glycolysis/Gluconeogenesis,0.8923978804635504
FUM,Suc → Mal,0.6714173770270707,0.006851024394033889,0.06598552268807444,Citric Acid Cycle,0.28999306587299073
RPI,6PG → R5P + CO2,0.19780127335509068,0.019392284348197522,-0.37714994477915603,Pentose Phosphate Pathway,-0.10964482700521559
TKT2,F6P ↔ E4P + E2,0.04592980716773001,0.006464094782732641,0.29404424944265795,Pentose Phosphate Pathway,0.03289871594816486
TKT1,R5P + E2 ↔ S7P,0.05930017753813003,0.00646409478273253,0.31811826622326295,Pentose Phosphate Pathway,0.05513049149558872
ICDHyr,Cit → AKG + CO2,0.7113395992492696,0.00685102439403378,0.068035721514975,Citric Acid Cycle,0.291886375184964
MDH,Mal ↔ OAA,0.6657764711871726,0.01654753817591019,0.0,Citric Acid Cycle,0.1622595506900276
PDH,Pyr → AcCoA + CO2,1.4111429302193201,0.015461980140142766,0.9804264540324897,Glycolysis/Gluconeogenesis,1.2986854946211304
PFK,F6P ↔ FBP,0.0883207206255938,0.006479915558146734,0.0,Glycolysis/Gluconeogenesis,0.0
PGI,G6P ↔ F6P,0.01033168611805388,0.004747456421220826,0.0,Glycolysis/Gluconeogenesis,0.0
PGK,GAP ↔ PGA,1.0266847946996434,0.006479915558148969,-1.5090702292655878,Glycolysis/Gluconeogenesis,-0.9928259601913283
PPC,PEP + CO2 ↔ OAA,0.11170565856824566,0.009715693685955082,0.18731622598588757,Anaplerotic Reactions,0.1729820299811289
ME1,Mal → Pyr + CO2,0.00560936227194581,0.009715693685954967,0.0,Anaplerotic Reactions,0.0
ME2,Mal → Pyr + CO2,0.00560936227194581,0.009715693685954967,0.0,Anaplerotic Reactions,0.0
ACKr,AcCoA → Acetate,0.5312808442910096,0.01938615564396831,-0.6804246563576662,Pyruvate Metabolism,-0.7877515883145642
PYK,PEP ↔ Pyr,0.8268612508924159,0.011014147986613198,0.30360997691302,Glycolysis/Gluconeogenesis,0.5053853305697384
G6PDH2r,G6P → 6PG,0.005709717016485876,0.005286522636744814,0.0,Pentose Phosphate Pathway,0.0
