ID,lb,ub,pfba_wt,pfba_sec_met
PYK4,0.0,920.732159385158,7.673558172386399,7.673558172386634
NH4tex,-598.4634452470204,-118.44652980018112,-311.88811810555444,-311.8881181055624
D_LACt2pp,-237.36214368338736,0.0,0.0,0.0
D_LACtex,-237.36214368336155,0.0,0.0,0.0
LDH_D,-1000.0,-3.524291969370097e-11,0.0,0.0
L_LACD4,-1000.0,-5.4645373921869125e-12,0.0,0.0
F6PA,2.577125349554561e-11,271.45162218241643,135.72581109137982,135.72581109136078
GLCNtex,-1000.0,0.0,7.280620406390912e-13,1.8104827498713068e-11
PGI,-999.9999999999986,306.4942165852025,170.7684054940441,170.7684054940353
TKT2,-27.38548658750487,-27.385486587593533,-27.385486587557114,-27.38548658755747
GALUi,0.0,-2.1108273981036494e-11,0.0,0.0
NTRIR3pp,0.0,1000.0,198.496206934346,198.4962069343504
PGL,182.3130914009574,1000.0,762.6378563166426,762.6378563166686
EDA,762.6378563167184,1000.0,762.6378563166433,762.6378563166866
EDD,762.6378563170509,1000.0,762.6378563166433,762.6378563166865
G6PDH2r,182.3130914009838,1000.0,762.6378563166426,762.6378563166686
NADPHQR2,0.0,1000.0,0.0,0.0
ADK1,-1000.0,1000.0,79.20503051826459,79.2050305182665
NDPK3,-914.1853244227196,7.673558172364424,0.0,0.0
PPA,114.09769411539637,114.0976941148237,114.09769411538429,114.09769411538636
